Public/Private,Name,Conference,Website,Camp Link,Adress
Public,Adams State University,Rocky Mountain Athletic Conference,https://www.adams.edu/,https://www.adamsstatefootballcamps.com/,"Alamosa, Colorado"
Public,Albany State University,Southern Intercollegiate Athletic Conference,https://www.asurams.edu/,https://football.albanystatesportscamps.com/,"Albany, Georgia"
Private,Alderson Broaddus University,Great Midwest Athletic Conference,https://ab.edu/,https://www.battlerfootballcamps.com/index.cfm,"Philippi, West Virginia"
Private,Allen University,Appalachian Athletic Conference,https://allenuniversity.edu/,https://auyellowjackets.com/sports/football,"Columbia, South Carolina"
Private,American International College,Northeast-10 Conference,https://www.aic.edu/,https://aicfootballcamps.totalcamps.com/About%20Us,"Springfield, Massachusetts"
Private,Anderson University – South Carolina,South Atlantic Conference,https://andersonuniversity.edu/,https://andersonfootballcamps.totalcamps.com/shop/product/167995,"Anderson, South Carolina"
Public,Angelo State University,Lone Star Conference,https://www.angelo.edu/,https://www.ramfootballcamps.com/,"San Angelo, Texas"
Public,Arkansas Tech University,Great American Conference,https://www.atu.edu/,https://www.wonderboyfootballcamps.com/,"Russellville, Arkansas"
Private,Ashland University,Great Lakes Intercollegiate Athletic Conference,https://www.ashland.edu/,https://goashlandeagles.com/sports/2020/5/20/camps-2014-15-Football-FOOTBALLCAMPS.aspx,"Ashland, Ohio"
Private,Assumption University,Northeast-10 Conference,https://www.assumption.edu/,https://assumptionfootballcamps.totalcamps.com/About%20Us,"Worcester, Massachusetts"
Private,Augustana University – South Dakota,Northern Sun Intercollegiate Conference,https://www.augie.edu/,https://augustanafootballcamp.com/,"Sioux Falls, South Dakota"
Private,Barton College,Conference Carolinas,https://www.barton.edu/,https://bartonbulldogs.com/sports/football,"Wilson, North Carolina"
Public,Bemidji State University,Northern Sun Intercollegiate Conference,https://www.bemidjistate.edu/,https://bsubeavers.com/sports/2022/5/19/_132974727102352271.aspx#Football,"Bemidji, Minnesota"
Private,Benedict College,Southern Intercollegiate Athletic Conference,https://www.benedict.edu/,https://www.benedictcollegefootballcamps.com/,"Columbia, South Carolina"
Private,Bentley University,Northeast-10 Conference,https://www.bentley.edu/,https://www.bentleyfalcons.com/sports/fball/2017-18/releases/20180321n0j96h,"Waltham, Massachusetts"
Public,Black Hills State University,Rocky Mountain Athletic Conference,https://www.bhsu.edu/,https://camps.jumpforward.com/bhsufb,"Spearfish, South Dakota"
Public,Bloomsburg University of Pennsylvania,Pennsylvania State Athletic Conference,https://www.bloomu.edu/,https://www.buhuskiescamps.com/,"Bloomsburg, Pennsylvania"
Public,Bluefield State College,Independent Southeast Region,https://bluefieldstate.edu/,https://www.tonycoaxumfootballcamp.com/,"Bluefield, West Virginia"
Public,Bowie State University,Central Intercollegiate Athletic Association,https://www.bowiestate.edu/,https://community.bowiestate.edu/s/1266/bp18/interior.aspx?sid=1266&gid=1&pgid=810&cid=1665&ecid=1665,"Bowie, Maryland"
Public,California University of Pennsylvania,Pennsylvania State Athletic Conference,https://www.calu.edu/,https://calvulcans.com/sports/2022/1/25/camps-clinics-summer-2022.aspx,"California, Pennsylvania"
Private,Carson-Newman University,South Atlantic Conference,https://www.cn.edu/,https://www.cneagles.com/sports/m-footbl/2021-22/releases/20220530l2bbjf,"Jefferson City, Tennessee"
Private,Catawba College,South Atlantic Conference,https://www.catawba.edu/,https://catawba.edu/community/summer-camps/,"Salisbury, North Carolina"
Public,Central State University,Southern Intercollegiate Athletic Conference,https://www.centralstate.edu/,https://www.centralstate.edu/camp/,"Wilberforce, Ohio"
Public,Central Washington University,Great Northwest Athletic Conference,http://www.cwu.edu/,https://wildcatsports.com/sports/2022/4/26/cwu-football-camps,"Ellensburg, Washington"
Public,Chadron State College,Rocky Mountain Athletic Conference,https://www.centralstate.edu/,https://www.cscfootballcamps.com/team-camp.cfm,"Chadron, Nebraska"
Private,Chowan University,Central Intercollegiate Athletic Association,https://www.chowan.edu/,https://info.abcsportscamps.com/chowanfb,"Murfreesboro, North Carolina"
Public,Clarion University of Pennsylvania,Pennsylvania State Athletic Conference,https://www.clarion.edu/,https://clariongoldeneagles.com/sports/camps,"Clarion, Pennsylvania"
Private,Clark Atlanta University,Southern Intercollegiate Athletic Conference,https://www.cau.edu/,https://clarkatlantasports.com/news/2018/6/1/general-cau-football-to-host-camp-with-coaches-from-ohio-state-on-june-13.aspx,"Atlanta, Georgia"
Public,Colorado Mesa University,Rocky Mountain Athletic Conference,https://www.coloradomesa.edu/,https://cmumavericks.com/sports/2008/11/14/GEN_1114081724.aspx,"Grand Junction, Colorado"
Public,Colorado School of Mines,Rocky Mountain Athletic Conference,https://www.mines.edu/,https://minesathletics.com/sports/2018/1/22/camps.aspx,"Golden, Colorado"
Public,Colorado State University – Pueblo,Rocky Mountain Athletic Conference,https://www.csupueblo.edu/,https://www.packfootballcamps.com/,"Pueblo, Colorado"
Public,Concord University,Mountain East Conference,https://www.concord.edu/,https://cumountainlions.com/news/2021/6/7/football-camps-set-for-july-17-25.aspx,"Athens, West Virginia"
Private,"Concordia University, St. Paul – Minnesota",Northern Sun Intercollegiate Conference,https://www.csp.edu/,https://cspbears.com/sports/2012/6/28/FB_0628125104.aspx,"Saint Paul, Minnesota"
Private,Davenport University,Great Lakes Intercollegiate Athletic Conference,https://www.davenport.edu/,https://dupanthers.com/sports/2016/2/4/footballcamp.aspx?id=236,"Grand Rapids, Michigan"
Public,Delta State University,Gulf South Conference,https://www.deltastate.edu/,http://www.deltastatefootballcamps.com/About%20Us,"Cleveland, Mississippi"
Public,East Central University,Great American Conference,https://www.ecok.edu/,https://www.ecufootballcamp.com/,"Ada, Oklahoma"
Public,East Stroudsburg University of Pennsylvania,Pennsylvania State Athletic Conference,https://www.esu.edu/,https://football.esuwarriorcamps.com/,"East Stroudsburg, Pennsylvania"
Public,Eastern New Mexico University,Lone Star Conference,https://www.enmu.edu/,https://easternnewmexicofootballcamps.totalcamps.com/About%20Us,"Portales, New Mexico"
Public,Edinboro University,Pennsylvania State Athletic Conference,https://www.edinboro.edu/,https://gofightingscots.com/sports/2021/5/12/sports-camps.aspx,"Edinboro, Pennsylvania"
Private,Edward Waters University,Mid-South Conference,https://www.ew.edu/,https://register.ryzer.com/camp.cfm?id=213847,"Jacksonville, Florida"
Public,Elizabeth City State University,Central Intercollegiate Athletic Association,http://www.ecsu.edu/,https://ecsuvikings.com/sports/football,"Elizabeth City, North Carolina"
Public,Emporia State University,Mid-America Intercollegiate Athletics Association,https://www.emporia.edu/,https://www.esuhornetfootballcamps.com/emporia-state-showcase-camps.cfm,"Emporia, Kansas"
Private,Erskine College,Conference Carolinas,https://www.erskine.edu/,https://erskinesports.com/sports/2021/5/6/football-future-fleet-day,"Due West, South Carolina"
Public,Fairmont State University,Mountain East Conference,https://www.erskine.edu/,https://erskinesports.com/sb_output.aspx?form=3,"Fairmont, West Virginia"
Public,Fayetteville State University,Central Intercollegiate Athletic Association,https://www.uncfsu.edu/,https://fsubroncos.com/sports/2018/5/25/camps-index-html.aspx,"Fayetteville, North Carolina"
Public,Ferris State University,Great Lakes Intercollegiate Athletic Conference,https://www.ferris.edu/,https://www.ferrisstatebulldogs.com/camps/footballcamps,"Big Rapids, Michigan"
Public,Fort Hays State University,Mid-America Intercollegiate Athletics Association,https://www.fhsu.edu/,https://fhsuathletics.com/sports/2010/7/8/FB_0708104858.aspx,"Hays, Kansas"
Public,Fort Lewis College,Rocky Mountain Athletic Conference,https://www.fortlewis.edu/,https://goskyhawks.com/sports/2021/6/16/msoc-camps-page.aspx,"Durango, Colorado"
Public,Fort Valley State University,Southern Intercollegiate Athletic Conference,https://www.fvsu.edu/,https://www.fvsu.edu/wildcat-football-camp-registration/,"Fort Valley, Georgia"
Private,Franklin Pierce University,Other,https://www.franklinpierce.edu/,https://www.fpuravens.com/sports/fball/index,"Rindge, New Hampshire"
Public,Frostburg State University,New Jersey Athletic Conference,https://www.frostburg.edu/,https://frostburgsports.com/sports/2022/7/1/frostburg-camps.aspx,"Frostburg, Maryland"
Private,Gannon University,Pennsylvania State Athletic Conference,https://www.gannon.edu/,https://gannonfootballcamps.totalcamps.com/About%20Us,"Erie, Pennsylvania"
Public,Glenville State University,Mountain East Conference,https://www.glenville.edu/,https://www.glenville.edu/,"Glenville, West Virginia"
