Website,School,City and State,Type,Conference
https://www.adrian.edu/,Adrian College,"Adrian, Michigan",Private,Michigan Intercollegiate Athletic Association
https://www.albion.edu/,Albion College,"Albion, Michigan",Private,Michigan Intercollegiate Athletic Association
https://www.albright.edu/home/,Albright College,"Reading, Pennsylvania",Private,Middle Atlantic Conferences
https://www.alfred.edu/,Alfred University,"Alfred, New York",Private,Empire 8 Athletic Conference
https://allegheny.edu/,Allegheny College,"Meadville, Pennsylvania",Private,Presidents' Athletic Conference
https://www.alma.edu/,Alma College,"Alma, Michigan",Private,Michigan Intercollegiate Athletic Association
https://www.alvernia.edu/,Alvernia University,"Reading, Pennsylvania",Private,Middle Atlantic Conferences
https://www.amherst.edu/,Amherst College,"Amherst, Massachusetts",Private,New England Small College Athletic Conference
https://anderson.edu/,Anderson University – Indiana,"Anderson, Indiana",Private,Heartland Collegiate Athletic Conference
https://annamaria.edu/,Anna Maria College,"Paxton, Massachusetts",Private,Eastern Collegiate Football Conference
https://www.augsburg.edu/,Augsburg University,"Minneapolis, Minnesota",Private,Minnesota Intercollegiate Athletic Conference
https://www.augustana.edu/,Augustana College – Illinois,"Rock Island, Illinois",Private,College Conference of Illinois and Wisconsin
https://aurora.edu/,Aurora University,"Aurora, Illinois",Private,Northern Athletics Collegiate Conference
https://www.austincollege.edu/,Austin College,"Sherman, Texas",Private,Southern Athletic Association
https://www.averett.edu/,Averett University,"Danville, Virginia",Private,Old Dominion Athletic Conference
https://www.bw.edu/,Baldwin Wallace University,"Berea, Ohio",Private,Ohio Athletic Conference
https://www.bates.edu/,Bates College,"Lewiston, Maine",Private,New England Small College Athletic Conference
https://www.belhaven.edu/,Belhaven University,"Jackson, Mississippi",Private,American Southwest Conference
https://www.beloit.edu/,Beloit College,"Beloit, Wisconsin",Private,Midwest Conference
https://ben.edu/,Benedictine University,"Lisle, Illinois",Private,Northern Athletics Collegiate Conference
https://berry.edu/,Berry College,"Mount Berry, Georgia",Private,Southern Athletic Association
https://www.bethanywv.edu/,Bethany College – West Virginia,"Bethany, West Virginia",Private,Presidents' Athletic Conference
https://www.bethel.edu/,Bethel University – Minnesota,"Saint Paul, Minnesota",Private,Minnesota Intercollegiate Athletic Conference
https://www.bsc.edu/,Birmingham-Southern College,"Birmingham, Alabama",Private,Southern Athletic Association
https://www.bluffton.edu/,Bluffton University,"Bluffton, Ohio",Private,Heartland Collegiate Athletic Conference
https://www.bowdoin.edu/,Bowdoin College,"Brunswick, Maine",Private,New England Small College Athletic Conference
https://brevard.edu/,Brevard College,"Brevard, North Carolina",Private,South Atlantic Conference
https://www.bridgewater.edu/about-us/,Bridgewater College,"Bridgewater, Virginia",Private,Old Dominion Athletic Conference
https://www.bridgew.edu/,Bridgewater State University,"Bridgewater, Massachusetts",Public,Massachusetts State Collegiate Athletic Conference
https://www.bvu.edu/,Buena Vista University,"Storm Lake, Iowa",Private,Iowa Intercollegiate Athletic Conference
https://suny.buffalostate.edu/,Buffalo State College,"buffalo, New York",Public,Liberty League
https://www.callutheran.edu/,California Lutheran University,"Thousand Oaks, California",Private,Southern California Intercollegiate Athletic Conference
https://www.capital.edu/,Capital University,"Columbus, Ohio",Private,Ohio Athletic Conference
https://www.carleton.edu/,Carleton College,"Northfield, Minnesota",Private,Minnesota Intercollegiate Athletic Conference
https://www.cmu.edu/,Carnegie Mellon University,"Pittsburgh, Pennsylvania",Private,University Athletic Association
https://www.carrollu.edu/,Carroll University,"Waukesha, Wisconsin",Private,College Conference of Illinois and Wisconsin
https://www.carthage.edu/,Carthage College,"Kenosha, Wisconsin",Public,College Conference of Illinois and Wisconsin
https://case.edu/,Case Western Reserve University,"Cleveland, Ohio",Private,University Athletic Association
